Date,Category_Level_8,Link_to_Creative,Spend_USD
2024-01,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/706d1ac423bb79a9/media,662420.3282
2024-01,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/662b234392cc8668/media,616293.4305
2024-01,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/f91c3575b82eca40/media,430247.3507
2024-01,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/3oV0spkdXdp106pdtNpQTw.png,4506.3216
2024-01,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/WO7AepTGk7DhRV-kz86Icw.png,3588.9793
2024-01,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/g3VJB0hRmHqd49UOV2D1bw.png,3164.859
2024-01,Car Buying Services,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,109599.6606
2024-01,Car Buying Services,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,109359.0567
2024-01,Car Buying Services,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,85258.505
2024-01,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-2669878675409100247.png,12672.1764
2024-01,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/7197562435513943074.png,8816.0189
2024-01,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-3651180812286207519.png,4752.2514
2024-01,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/1586485183246953749.png,145162.9484
2024-01,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/7787298822459641772.png,90148.1551
2024-01,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/-6991885883936868166.png,75947.6804
2024-01,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/99c2ed5b708c5414/media,125907.9845
2024-01,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/2ee388622bcb26aa/media,99939.198
2024-01,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/94b0b3d0be10b65d/media,78305.0975
2024-01,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,1167222.8052
2024-01,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/2c484bc1fc2ebcff/media,789318.9649
2024-01,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/3a8381a19166256c/media,510321.61289999995
2024-01,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/6c74a206a0b31394/media,1562551.008
2024-01,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/37ebee1ab6d757a3/media,912526.3966
2024-01,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/a35b6eaec19c3339/media,769627.1104
2024-01,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/a4odiJ1mKNeLfBvmqnaKng.mp4,10100.3556
2024-01,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/l0paKxClg424oNRgRZukqQ.jpg,1817.2444
2024-01,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/Qea3UBkzTJyr96AIqSRKKQ.jpg,1504.1702
2024-01,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/ZX2dDxIiLYjKQe7h_p6L5A.png,187750.7167
2024-01,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/m2bUwzWCBxCZeKqmW3Ltqg.png,48984.1007
2024-01,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/su_b-Ohr6vk1Fb0Rpi2s1g.png,38680.0218
2024-01,Credit Cards,https://s3.amazonaws.com/YM_Ads/-7091761275134699006.png,11346.9309
2024-01,Credit Cards,https://s3.amazonaws.com/YM_Ads/HHo2DafAZRycJWHvvFlIvg.png,3348.8343
2024-01,Credit Cards,https://s3.amazonaws.com/YM_Ads/e8ojRtn9AS5VwjErw8eFkw.png,1062.5113000000001
2024-01,Finance Careers,https://s3.amazonaws.com/YM_Ads/I1RUkja8L6vmUTZQDxLjJQ.mp4,133443.1342
2024-01,Finance Careers,https://s3.amazonaws.com/YM_Ads/w_tEl1bYBrlR_fA4ZasqAQ.mp4,64660.745
2024-01,Finance Careers,https://s3.amazonaws.com/YM_Ads/_0PEGruivsFDr14knkvB5w.mp4,56183.154500000004
2024-01,Financial Services,https://s3.amazonaws.com/YM_Ads/LEq74B4BzS3BbmhIjz9FDA.mp4,79224.0027
2024-01,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/b887855fc3286fcf/media,76895.3815
2024-01,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/cf4ffef33bfbd18b/media,36898.8551
2024-01,Savings Accounts,https://s3.amazonaws.com/YM_Ads/645233030685019561.png,495559.88910000003
2024-01,Savings Accounts,https://s3.amazonaws.com/YM_Ads/8278193215417937680.png,357463.9686
2024-01,Savings Accounts,https://s3.amazonaws.com/YM_Ads/7018208595988310939.png,113301.8789
2024-02,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/706d1ac423bb79a9/media,647176.3092
2024-02,Business Credit Cards,https://s3.amazonaws.com/YM_Ads/pTshOSU0n3TPa6ozSyEWHQ.png,527432.1518
2024-02,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/662b234392cc8668/media,410887.32300000003
2024-02,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/3oV0spkdXdp106pdtNpQTw.png,186.7495
2024-02,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/El3KN9jHQNXn1ANAGuszqg.png,173.3109
2024-02,Car Buying Services,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,103701.4299
2024-02,Car Buying Services,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,97649.5296
2024-02,Car Buying Services,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,90897.8618
2024-02,Cardholder Benefits,https://x-ad-assets.s3.amazonaws.com/media_asset/10cea97c88b032ff/media,86955.4678
2024-02,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/247775080123507233.png,74563.1188
2024-02,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/2014886101156339408.png,72640.6055
2024-02,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/1586485183246953749.png,125571.4563
2024-02,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/3866107542895925003.png,108615.3675
2024-02,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/4099629314085085265.png,74302.56450000001
2024-02,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/99c2ed5b708c5414/media,276930.0402
2024-02,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/85ae13571b1b7c7f/media,66956.7561
2024-02,Checking Accounts,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,48926.3278
2024-02,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,1737524.8442
2024-02,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/2c484bc1fc2ebcff/media,1088474.9455
2024-02,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/7f1d4fe44e1da128/media,328716.3351
2024-02,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/6c74a206a0b31394/media,1362562.5822
2024-02,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/664eb6726159d0c8/media,579212.2717
2024-02,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,465971.8473
2024-02,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/a4odiJ1mKNeLfBvmqnaKng.mp4,19446.7631
2024-02,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/l0paKxClg424oNRgRZukqQ.jpg,822.2951
2024-02,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/XKJjy4zbdqaLlIBd2G7whw.jpg,768.5716
2024-02,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/ZX2dDxIiLYjKQe7h_p6L5A.png,403742.4498
2024-02,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/ta4Oj9x0P6ZMOWdC-4t_MQ.png,96483.5208
2024-02,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/FX6ILPQdFiUsuvm6qUq0Zw.png,93354.6621
2024-02,Credit Cards,https://s3.amazonaws.com/YM_Ads/-7091761275134699006.png,2847.6978
2024-02,Credit Cards,https://s3.amazonaws.com/YM_Ads/HHo2DafAZRycJWHvvFlIvg.png,1171.8026
2024-02,Credit Cards,https://s3.amazonaws.com/YM_Ads/TV-o1BHEoyofxywBb9Oiyg.png,699.9843000000001
2024-02,Finance Careers,https://s3.amazonaws.com/YM_Ads/x2-OBR-eU3yw3zaOEmHhxw.mp4,69633.43609999999
2024-02,Finance Careers,https://s3.amazonaws.com/YM_Ads/cmZ4ZI_gUyJXaHIJNqyRzQ.mp4,24211.2713
2024-02,Finance Careers,https://s3.amazonaws.com/YM_Ads/T0optlpIzsQJdBXI4GseSA.mp4,8611.0928
2024-02,Financial Services,https://s3.amazonaws.com/YM_Ads/IWNkByDmYn0kTGVH_ek_7A.png,60765.0643
2024-02,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/b887855fc3286fcf/media,57926.7995
2024-02,Financial Services,https://s3.amazonaws.com/YM_Ads/LEq74B4BzS3BbmhIjz9FDA.mp4,57171.3114
2024-02,Savings Accounts,https://s3.amazonaws.com/YM_Ads/8278193215417937680.png,316270.0244
2024-02,Savings Accounts,https://s3.amazonaws.com/YM_Ads/645233030685019561.png,266315.1106
2024-02,Savings Accounts,https://s3.amazonaws.com/YM_Ads/-3717766613815414684.png,60474.015
2024-03,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/a1156bd68bc51f06/media,1032479.6216000001
2024-03,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/706d1ac423bb79a9/media,658011.1106
2024-03,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/662b234392cc8668/media,371872.2286
2024-03,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/7NeNONZx7mjNwhWVdvkmGw.png,3811.7521
